id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,last_updated,roi_times,roi_currency,roi_percentage
bitcoin,BTC,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,56840.0,1124128781552.0,1,1195134209000,33798266845,57897.0,54815.0,1376.76,2.4823,30282041950.0,2.7684,19752346.0,21000000.0,21000000.0,73738.0,-22.90727,2024-03-14 07:10:36.635000+00:00,67.81,83733.40107,2013-07-06 00:00:00+00:00,2024-09-10 13:35:01.282000+00:00,0.0,N/A,0.0
ethereum,ETH,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2340.59,282196351862.0,2,282196351862,14170650283,2376.33,2276.45,27.03,1.16814,4338152848.0,1.56128,120326063.7,120326063.7,,4878.26,-52.04637,2021-11-10 14:24:19.604000+00:00,0.432979,540181.05702,2015-10-20 00:00:00+00:00,2024-09-10 13:35:02.838000+00:00,54.02823180881898,btc,5402.823180881898
tether,USDT,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,118427754436.0,3,118427754436,50182093653,1.005,0.997414,-0.000169886465001268,-0.01697,244785431.0,0.20712,118369316855.54,118369316855.54,,1.32,-24.4694,2018-07-24 00:00:00+00:00,0.572521,74.55111,2015-03-02 00:00:00+00:00,2024-09-10 13:34:59.785000+00:00,0.0,N/A,0.0
binancecoin,BNB,Bnb,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,518.74,75811952710.0,4,75811952710,848459477,525.31,501.82,12.47,2.4623,2030923765.0,2.75264,145887575.79,145887575.79,200000000.0,717.48,-27.8437,2024-06-06 14:10:59.816000+00:00,0.0398177,1300084.77051,2017-10-19 00:00:00+00:00,2024-09-10 13:35:01.963000+00:00,0.0,N/A,0.0
solana,SOL,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,134.01,62627769219.0,5,78229672480,2667813119,136.33,127.09,4.78,3.69909,2284094863.0,3.78514,467639021.39,584137802.43,,259.96,-48.48286,2021-11-06 21:54:35.825000+00:00,0.500801,26641.86358,2020-05-11 19:35:23.449000+00:00,2024-09-10 13:34:56.988000+00:00,0.0,N/A,0.0
usd-coin,USDC,Usdc,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,35233587224.0,6,35232548115,6737663421,1.002,0.997742,-8.6700104539705e-05,-0.00867,134576353.0,0.38342,35211367688.18,35210329233.77,,1.17,-14.72924,2019-05-08 00:40:28.300000+00:00,0.877647,13.93828,2023-03-11 08:02:13.981000+00:00,2024-09-10 13:34:58.268000+00:00,0.0,N/A,0.0
ripple,XRP,Xrp,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.54,30290811870.0,7,53767605416,908878299,0.54315,0.527329,0.00617223,1.16071,333210654.0,1.11227,56329375591.0,99987271820.0,100000000000.0,3.4,-84.20619,2018-01-07 00:00:00+00:00,0.00268621,19881.51696,2014-05-22 00:00:00+00:00,2024-09-10 13:34:57.575000+00:00,0.0,N/A,0.0
staked-ether,STETH,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2340.19,22927399007.0,8,22927399007,55991693,2372.98,2274.88,29.31,1.26841,297528003.0,1.31476,9775994.64,9775994.64,,4829.57,-51.49129,2021-11-10 14:40:47.256000+00:00,482.9,385.14821,2020-12-22 04:08:21.854000+00:00,2024-09-10 13:34:56.669000+00:00,0.0,N/A,0.0
dogecoin,DOGE,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.1,15005885978.0,9,15007265346,774900409,0.104687,0.097108,0.00456395,4.6453,672071053.0,4.68871,145884856383.7,145898266383.7,,0.731578,-85.95818,2021-05-08 05:08:23.458000+00:00,8.69e-05,118107.64029,2015-05-06 00:00:00+00:00,2024-09-10 13:34:54.163000+00:00,0.0,N/A,0.0
the-open-network,TON,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.28,13380304398.0,10,27003860170,390581163,5.33,5.06,0.16523,3.2309,435159537.0,3.36157,2532791859.4,5111629390.15,,8.25,-36.09966,2024-06-15 00:36:51.509000+00:00,0.519364,915.48912,2021-09-21 00:33:11.092000+00:00,2024-09-10 13:34:57.882000+00:00,0.0,N/A,0.0
tron,TRX,Tron,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.15,13266853106.0,11,13266817361,424639812,0.155155,0.152426,-0.001125011163699452,-0.73044,-83545364.16969681,-0.62579,86718325646.2,86718092004.93,,0.231673,-34.14562,2018-01-05 00:00:00+00:00,0.00180434,8355.53113,2017-11-12 00:00:00+00:00,2024-09-10 13:34:57.632000+00:00,79.47064756085778,usd,7947.064756085779
cardano,ADA,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.34,12201740816.0,12,15399500529,308970908,0.348258,0.337808,0.00076866,0.22517,21961250.0,0.18031,35655593871.61,45000000000.0,45000000000.0,3.09,-88.93296,2021-09-02 06:00:10.474000+00:00,0.01925275,1674.44594,2020-03-13 02:22:55.044000+00:00,2024-09-10 13:34:59.253000+00:00,0.0,N/A,0.0
avalanche-2,AVAX,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,23.85,9665684269.0,13,10619700469,288521801,24.32,23.36,0.097011,0.40837,27391138.0,0.28419,405271441.82,445272285.04,720000000.0,144.96,-83.57236,2021-11-21 14:18:56.538000+00:00,2.8,750.16631,2020-12-31 13:15:21.540000+00:00,2024-09-10 13:35:00.297000+00:00,0.0,N/A,0.0
wrapped-steth,WSTETH,Wrapped Steth,https://coin-images.coingecko.com/coins/images/18834/large/wstETH.png?1696518295,2764.03,9570481306.0,14,9570481306,83367552,2792.21,2684.09,42.39,1.55764,171188617.0,1.82129,3461333.95,3461333.95,,7256.02,-61.95754,2022-05-13 15:09:54.509000+00:00,558.54,394.21143,2022-05-13 01:36:45.053000+00:00,2024-09-10 13:34:58.171000+00:00,0.0,N/A,0.0
wrapped-bitcoin,WBTC,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,56866.0,8697850307.0,15,8697850307,146353560,57748.0,54867.0,1495.88,2.70161,236076263.0,2.78991,152934.59,152934.59,152934.59427599,73505.0,-22.6475,2024-03-14 07:10:23.403000+00:00,3139.17,1711.25203,2019-04-02 00:00:00+00:00,2024-09-10 13:34:58.433000+00:00,0.0,N/A,0.0
shiba-inu,SHIB,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,0.0,7896927207.0,16,13401178814,269824159,1.376e-05,1.299e-05,2.03385e-07,1.54355,133490549.0,1.71948,589260683522349.2,999982345144051.0,,8.616e-05,-84.46683,2021-10-28 03:54:55.568000+00:00,5.6366e-11,23743109.64095,2020-11-28 11:26:25.838000+00:00,2024-09-10 13:35:02.314000+00:00,0.0,N/A,0.0
weth,WETH,Weth,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2345.5,6834334174.0,17,6834334174,589102627,2373.69,2276.98,33.81,1.46239,166417109.0,2.49579,2913365.04,2913365.04,,4799.89,-51.21702,2021-11-09 00:00:00+00:00,82.1,2751.92913,2018-12-15 00:00:00+00:00,2024-09-10 13:34:58.522000+00:00,0.0,N/A,0.0
bitcoin-cash,BCH,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,322.3,6373652800.0,18,6773998139,204939327,327.7,308.63,10.17,3.25805,211244817.0,3.42796,19758893.65,21000000.0,21000000.0,3785.82,-91.49684,2017-12-20 00:00:00+00:00,76.93,318.4249,2018-12-16 00:00:00+00:00,2024-09-10 13:35:01.315000+00:00,0.0,N/A,0.0
chainlink,LINK,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,10.46,6359065706.0,19,10457270196,322549140,10.72,10.33,-0.00145860430952105,-0.01395,-3534523.582244873,-0.05555,608099971.31,1000000000.0,1000000000.0,52.7,-80.20317,2021-05-10 00:13:57.214000+00:00,0.148183,6940.10925,2017-11-29 00:00:00+00:00,2024-09-10 13:34:54.417000+00:00,0.0,N/A,0.0
polkadot,DOT,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,4.22,5948653354.0,20,6290007407,140883916,4.33,4.16,0.03711219,0.88682,54304831.0,0.9213,1410671198.33,1491620331.2,,54.98,-92.33616,2021-11-04 14:10:09.301000+00:00,2.7,56.20819,2020-08-20 05:48:11.359000+00:00,2024-09-10 13:34:56.673000+00:00,0.0,N/A,0.0
dai,DAI,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,1.0,5067878515.0,22,5067878515,76481182,1.004,0.997547,-0.002948889441181324,-0.29459,-3892470.4612636566,-0.07675,5064334383.68,5064334383.68,,1.22,-17.95149,2020-03-13 03:02:50.373000+00:00,0.88196,13.39681,2023-03-11 07:50:50.514000+00:00,2024-09-10 13:35:01.668000+00:00,0.0,N/A,0.0
leo-token,LEO,Leo Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,5.47,5065569888.0,21,5392501799,1981444,5.53,5.33,0.085244,1.58186,83616191.0,1.67838,925507259.9,985239504.0,,8.14,-32.52874,2022-02-08 17:40:10.285000+00:00,0.799859,586.24814,2019-12-24 15:14:35.376000+00:00,2024-09-10 13:34:57.421000+00:00,0.0,N/A,0.0
uniswap,UNI,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,6.57,4949861427.0,23,6566835128,177114663,6.74,6.5,-0.07566150463453525,-1.13926,-56696938.0611887,-1.13245,753766667.0,1000000000.0,1000000000.0,44.92,-85.41194,2021-05-03 05:25:04.822000+00:00,1.03,536.07628,2020-09-17 01:20:38.214000+00:00,2024-09-10 13:34:58.706000+00:00,0.0,N/A,0.0
litecoin,LTC,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,61.06,4577375058.0,24,5129457193,400429948,61.77,59.66,0.640672,1.06037,52988531.0,1.17118,74959101.98,84000000.0,84000000.0,410.26,-85.15413,2021-05-10 03:13:07.904000+00:00,1.15,5201.56645,2015-01-14 00:00:00+00:00,2024-09-10 13:34:58.598000+00:00,0.0,N/A,0.0
near,NEAR,Near Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,4.03,4442061787.0,25,4747237413,237911108,4.08,3.83,0.131539,3.37778,138993729.0,3.23011,1107181322.95,1183246170.68,,20.44,-80.37418,2022-01-16 22:09:45.873000+00:00,0.526762,661.47191,2020-11-04 16:09:15.137000+00:00,2024-09-10 13:34:58.666000+00:00,0.0,N/A,0.0
kaspa,KAS,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.16,4017036495.0,26,4017033747,47026465,0.16638,0.153576,0.00890279,5.77654,216929042.0,5.7085,24657472591.2,24657455727.96,28704026601.0,0.207411,-21.40941,2024-08-01 00:40:47.164000+00:00,0.00017105,95197.25061,2022-05-26 14:42:59.316000+00:00,2024-09-10 13:34:59.836000+00:00,0.0,N/A,0.0
wrapped-eeth,WEETH,Wrapped Eeth,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2457.71,3874707872.0,27,3874707872,20062088,2485.42,2384.22,37.66,1.55628,49701525.0,1.29938,1578808.79,1578611.11,,4196.87,-41.47951,2024-03-13 08:29:59.938000+00:00,2231.18,10.07785,2024-01-08 03:35:28.624000+00:00,2024-09-10 13:34:58.465000+00:00,0.0,N/A,0.0
internet-computer,ICP,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,7.93,3727952073.0,28,4144326861,83315017,8.02,7.44,0.419428,5.58567,200787833.0,5.69261,469881816.62,522362647.69,,700.65,-98.86632,2021-05-10 16:05:53.653000+00:00,2.87,177.24343,2023-09-22 00:29:57.369000+00:00,2024-09-10 13:34:54.902000+00:00,0.0,N/A,0.0
fetch-ai,FET,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,1.28,3237655108.0,29,3378327090,374120471,1.31,1.13,0.12225,10.51913,313495335.0,10.72087,2521012371.0,2630547141.0,2630547141.0,3.45,-62.86659,2024-03-28 17:21:18.050000+00:00,0.00816959,15600.20775,2020-03-13 02:24:18.347000+00:00,2024-09-10 13:34:54.996000+00:00,13.814530271290588,usd,1381.453027129059
pepe,PEPE,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.0,3115351639.0,30,3115351639,1166475139,7.57e-06,6.97e-06,2.79273e-07,3.9213,121051131.0,4.04272,420690000000000.0,420690000000000.0,420690000000000.0,1.717e-05,-57.00336,2024-05-27 08:30:07.709000+00:00,5.5142e-08,13285.11982,2023-04-18 02:14:41.591000+00:00,2024-09-10 13:34:56.614000+00:00,0.0,N/A,0.0
monero,XMR,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,166.59,3082261319.0,31,3082261319,60822393,172.94,166.51,-5.8690707301957445,-3.40307,-97694498.61114168,-3.0722,18446744.07,18446744.07,,542.33,-69.23933,2018-01-09 00:00:00+00:00,0.216177,77069.72462,2015-01-14 00:00:00+00:00,2024-09-10 13:34:56.566000+00:00,0.0,N/A,0.0
aptos,APT,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,6.17,3007541275.0,32,6883115965,126358194,6.38,6.09,0.01395042,0.22664,11781379.0,0.39327,487295030.56,1115246107.79,,19.92,-68.98406,2023-01-26 14:25:17.390000+00:00,3.08,100.61394,2022-12-29 21:35:14.796000+00:00,2024-09-10 13:35:01.680000+00:00,0.0,N/A,0.0
stellar,XLM,Stellar,https://coin-images.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1696501482,0.09,2756899700.0,33,4665241976,48022238,0.093832,0.090912,0.00173707,1.89662,50558993.0,1.86817,29548287558.09,50001786946.54,50001786946.5427,0.875563,-89.37057,2018-01-03 00:00:00+00:00,0.00047612,19446.89912,2015-03-05 00:00:00+00:00,2024-09-10 13:34:57.140000+00:00,0.0,N/A,0.0
ethereum-classic,ETC,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,18.31,2724361115.0,34,3860713480,99825177,18.58,17.81,0.276752,1.53439,46017417.0,1.71813,148683109.98,210700000.0,210700000.0,167.09,-89.07288,2021-05-06 18:34:22.133000+00:00,0.615038,2868.53536,2016-07-25 00:00:00+00:00,2024-09-10 13:34:59.931000+00:00,39.69628117246098,usd,3969.6281172460976
ethena-usde,USDE,Ethena Usde,https://coin-images.coingecko.com/coins/images/33613/large/USDE.png?1716355685,1.0,2690305711.0,35,2690305711,69509747,1.01,0.996862,-0.001795071853599173,-0.17967,179147.0,0.00666,2690965309.37,2690965309.37,,1.032,-3.22036,2023-12-20 15:38:34.596000+00:00,0.965354,3.46931,2024-04-13 20:11:19.603000+00:00,2024-09-10 13:35:02.411000+00:00,0.0,N/A,0.0
polygon-ecosystem-token,POL,Pol (Ex-Matic),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.38,2590248045.0,36,3945549909,12169306,0.386186,0.371881,0.00731923,1.93985,445407090.0,20.76644,6731475415.43,10253601875.85,,1.29,-70.19665,2024-03-13 18:55:06.692000+00:00,0.344976,11.23564,2024-08-05 06:45:46.141000+00:00,2024-09-10 13:34:22.915000+00:00,0.0,N/A,0.0
first-digital-usd,FDUSD,First Digital Usd,https://coin-images.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,1.0,2525380463.0,37,2525380463,4108698508,1.011,0.993615,-0.001962411488407701,-0.1964,-24427858.49890089,-0.95803,2527762448.15,2527762448.15,,1.089,-8.36759,2024-05-20 19:42:15.377000+00:00,0.942129,5.87386,2023-08-17 21:55:41.478000+00:00,2024-09-10 13:35:03.056000+00:00,0.0,N/A,0.0
sui,SUI,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.92,2469317979.0,38,9213997688,473975428,0.968865,0.898899,0.0030966,0.33744,10903070.0,0.4435,2679963749.63,10000000000.0,10000000000.0,2.17,-57.62726,2024-03-27 17:46:02.608000+00:00,0.364846,152.14461,2023-10-19 10:40:30.078000+00:00,2024-09-10 13:35:00.186000+00:00,0.0,N/A,0.0
blockstack,STX,Stacks,https://coin-images.coingecko.com/coins/images/2069/large/Stacks_Logo_png.png?1709979332,1.56,2307976592.0,39,2824407648,76034730,1.58,1.45,0.104626,7.19072,151138643.0,7.00742,1485586348.41,1818000000.0,1818000000.0,3.86,-59.67761,2024-04-01 12:34:58.342000+00:00,0.04559639,3317.34711,2020-03-13 02:29:26.415000+00:00,2024-09-10 13:35:01.498000+00:00,11.996979605136826,usd,1199.6979605136826
okb,OKB,Okb,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,37.88,2273059212.0,40,8939096505,3331424,38.01,36.5,0.989186,2.68149,61617775.0,2.78632,60000000.0,235957685.3,300000000.0,73.8,-48.67031,2024-03-14 00:30:12.502000+00:00,0.580608,6424.71695,2019-01-14 00:00:00+00:00,2024-09-10 13:34:55.913000+00:00,0.0,N/A,0.0
crypto-com-chain,CRO,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.08,2138248959.0,41,2381104149,4477115,0.080065,0.078128,-2.5001774577232e-05,-0.03158,5683284.0,0.2665,26940219639.88,30000000000.0,,0.965407,-91.79729,2021-11-24 15:53:54.855000+00:00,0.0121196,553.40043,2019-02-08 00:00:00+00:00,2024-09-10 13:35:02.109000+00:00,0.0,N/A,0.0
filecoin,FIL,Filecoin,https://coin-images.coingecko.com/coins/images/12817/large/filecoin.png?1696512609,3.58,2097469173.0,42,7029670479,208589602,3.66,3.44,0.140289,4.08115,90884947.0,4.52934,584806125.0,1959978438.0,1959978535.0,236.84,-98.48515,2021-04-01 13:29:41.564000+00:00,2.64,35.85043,2022-12-16 22:45:28.552000+00:00,2024-09-10 13:35:02.654000+00:00,0.0,N/A,0.0
aave,AAVE,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,139.26,2072536706.0,43,2221163489,423414374,141.73,134.68,2.6,1.90265,31524220.0,1.54454,14929377.09,16000000.0,16000000.0,661.69,-79.03873,2021-05-18 21:19:59.514000+00:00,26.02,432.9817,2020-11-05 09:20:11.928000+00:00,2024-09-10 13:35:00.292000+00:00,0.0,N/A,0.0
bittensor,TAO,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,278.44,2044608593.0,44,5829822997,86998198,283.96,255.52,16.87,6.44962,122060164.0,6.34887,7365023.0,21000000.0,21000000.0,757.6,-63.17527,2024-03-07 18:45:36.466000+00:00,30.83,804.91809,2023-05-14 08:57:53.732000+00:00,2024-09-10 13:35:00.709000+00:00,0.0,N/A,0.0
render-token,RENDER,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,5.17,2026992313.0,45,2748832618,178786790,5.32,4.83,0.25588,5.21172,102525739.0,5.32749,392459381.46,532219654.74,,13.53,-61.85648,2024-03-17 16:30:24.636000+00:00,0.03665669,13983.67346,2020-06-16 13:22:25.900000+00:00,2024-09-10 13:35:02.685000+00:00,0.0,N/A,0.0
immutable-x,IMX,Immutable,https://coin-images.coingecko.com/coins/images/17233/large/immutableX-symbol-BLK-RGB.png?1696516787,1.25,2002174188.0,46,2494455737,56247254,1.29,1.22,0.01467233,1.18885,23607652.0,1.19317,1605299431.39,2000000000.0,2000000000.0,9.52,-86.90116,2021-11-26 01:03:01.536000+00:00,0.378055,229.84667,2022-12-31 07:36:37.649000+00:00,2024-09-10 13:34:54.646000+00:00,0.0,N/A,0.0
optimism,OP,Optimism,https://coin-images.coingecko.com/coins/images/25244/large/Optimism.png?1696524385,1.58,1875636733.0,47,6783279219,166020822,1.59,1.44,0.121773,8.3667,151952400.0,8.81556,1187596466.0,4294967296.0,4294967296.0,4.84,-67.47156,2024-03-06 08:35:50.817000+00:00,0.402159,291.8296,2022-06-18 20:54:52.178000+00:00,2024-09-10 13:34:56.156000+00:00,0.0,N/A,0.0
hedera-hashgraph,HBAR,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.05,1866021373.0,48,2524200954,35668164,0.051527,0.05004,-0.000177067795950982,-0.34884,-8311752.699893713,-0.44345,36962615235.67,50000000000.0,50000000000.0,0.569229,-91.1427,2021-09-15 10:40:28.318000+00:00,0.00986111,411.28461,2020-01-02 17:30:24.852000+00:00,2024-09-10 13:34:54.741000+00:00,0.0,N/A,0.0
mantle,MNT,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.56,1839177419.0,49,3501371672,83357149,0.568689,0.543177,0.0075531,1.36309,30436313.0,1.68273,3266841707.84,6219316794.99,6219316794.99,1.54,-63.39073,2024-04-08 09:45:25.482000+00:00,0.307978,82.90673,2023-10-18 02:50:46.942000+00:00,2024-09-10 13:34:55.516000+00:00,0.0,N/A,0.0
